HGNC ID	Approved symbol	Status
HGNC:5	A1BG	Approved
HGNC:37133	A1BG-AS1	Approved
HGNC:24086	A1CF	Approved
HGNC:6	A1S9T	Symbol Withdrawn
HGNC:7	A2M	Approved
HGNC:27057	A2M-AS1	Approved
HGNC:23336	A2ML1	Approved
HGNC:41022	A2ML1-AS1	Approved
HGNC:41523	A2ML1-AS2	Approved
HGNC:8	A2MP1	Approved
HGNC:9	A2MR	Symbol Withdrawn
HGNC:10	A2MRAP	Symbol Withdrawn
HGNC:30005	A3GALT2	Approved
HGNC:18149	A4GALT	Approved
HGNC:17968	A4GNT	Approved
HGNC:1	A12M1	Entry Withdrawn
HGNC:2	A12M2	Entry Withdrawn
HGNC:3	A12M3	Entry Withdrawn
HGNC:4	A12M4	Entry Withdrawn
HGNC:11	AA	Symbol Withdrawn
HGNC:13666	AAAS	Approved
HGNC:12	AABT	Entry Withdrawn
HGNC:13	AAC1	Symbol Withdrawn
HGNC:14	AAC2	Symbol Withdrawn
HGNC:21298	AACS	Approved
HGNC:18226	AACSP1	Approved
HGNC:13792	AACT	Symbol Withdrawn
HGNC:17	AADAC	Approved
HGNC:24427	AADACL2	Approved
HGNC:50301	AADACL2-AS1	Approved
HGNC:32037	AADACL3	Approved
HGNC:32038	AADACL4	Approved
HGNC:50305	AADACP1	Approved
HGNC:17929	AADAT	Approved
HGNC:25662	AAGAB	Approved
HGNC:19679	AAK1	Approved
HGNC:30205	AAMDC	Approved
HGNC:18	AAMP	Approved
HGNC:19	AANAT	Approved
HGNC:15886	AAR2	Approved
HGNC:33842	AARD	Approved
HGNC:20	AARS1	Approved
HGNC:49894	AARS1P1	Approved
HGNC:21022	AARS2	Approved
HGNC:28417	AARSD1	Approved
HGNC:23993	AASDH	Approved
HGNC:14235	AASDHPPT	Approved
HGNC:17366	AASS	Approved
HGNC:51526	AATBC	Approved
HGNC:19235	AATF	Approved
HGNC:21	AATK	Approved
HGNC:22	AAVS1	Approved
HGNC:49667	ABALON	Approved
HGNC:23	ABAT	Approved
HGNC:24	ABC1	Symbol Withdrawn
HGNC:25	ABC2	Symbol Withdrawn
HGNC:26	ABC3	Symbol Withdrawn
HGNC:28	ABC7	Symbol Withdrawn
HGNC:27	ABC50	Symbol Withdrawn
HGNC:29	ABCA1	Approved
HGNC:32	ABCA2	Approved
HGNC:33	ABCA3	Approved
HGNC:34	ABCA4	Approved
HGNC:35	ABCA5	Approved
HGNC:36	ABCA6	Approved
HGNC:37	ABCA7	Approved
HGNC:38	ABCA8	Approved
HGNC:39	ABCA9	Approved
HGNC:39983	ABCA9-AS1	Approved
HGNC:30	ABCA10	Approved
HGNC:31	ABCA11P	Approved
HGNC:14637	ABCA12	Approved
HGNC:14638	ABCA13	Approved
HGNC:32972	ABCA17P	Approved
HGNC:40	ABCB1	Approved
HGNC:11563	ABCB2	Symbol Withdrawn
HGNC:11564	ABCB3	Symbol Withdrawn
HGNC:45	ABCB4	Approved
HGNC:46	ABCB5	Approved
HGNC:47	ABCB6	Approved
HGNC:48	ABCB7	Approved
HGNC:49	ABCB8	Approved
HGNC:50	ABCB9	Approved
HGNC:41	ABCB10	Approved
HGNC:14114	ABCB10P1	Approved
HGNC:31128	ABCB10P2	Symbol Withdrawn
HGNC:31129	ABCB10P3	Approved
HGNC:31130	ABCB10P4	Approved
HGNC:42	ABCB11	Approved
HGNC:51	ABCC1	Approved
HGNC:53	ABCC2	Approved
HGNC:54	ABCC3	Approved
HGNC:55	ABCC4	Approved
HGNC:56	ABCC5	Approved
HGNC:40055	ABCC5-AS1	Approved
HGNC:57	ABCC6	Approved
HGNC:33352	ABCC6P1	Approved
HGNC:33353	ABCC6P2	Approved
HGNC:58	ABCC7	Symbol Withdrawn
HGNC:59	ABCC8	Approved
HGNC:60	ABCC9	Approved
HGNC:52	ABCC10	Approved
HGNC:14639	ABCC11	Approved
HGNC:14640	ABCC12	Approved
HGNC:16022	ABCC13	Approved
HGNC:61	ABCD1	Approved
HGNC:62	ABCD1P1	Approved
HGNC:63	ABCD1P2	Approved
HGNC:64	ABCD1P3	Approved
HGNC:65	ABCD1P4	Approved
HGNC:42662	ABCD1P5	Approved
HGNC:66	ABCD2	Approved
HGNC:67	ABCD3	Approved
HGNC:68	ABCD4	Approved
HGNC:69	ABCE1	Approved
HGNC:70	ABCF1	Approved
HGNC:53628	ABCF1-DT	Approved
HGNC:71	ABCF2	Approved
HGNC:48841	ABCF2P1	Approved
HGNC:48842	ABCF2P2	Approved
HGNC:72	ABCF3	Approved
HGNC:73	ABCG1	Approved
HGNC:74	ABCG2	Approved
HGNC:13884	ABCG4	Approved
HGNC:13886	ABCG5	Approved
HGNC:13887	ABCG8	Approved
HGNC:75	ABCR	Symbol Withdrawn
HGNC:17553	ABHD1	Approved
HGNC:18717	ABHD2	Approved
HGNC:18718	ABHD3	Approved
HGNC:20154	ABHD4	Approved
HGNC:21396	ABHD5	Approved
HGNC:21398	ABHD6	Approved
HGNC:23759	ABHD8	Approved
HGNC:25656	ABHD10	Approved
HGNC:16407	ABHD11	Approved
HGNC:18289	ABHD11-AS1	Approved
HGNC:40012	ABHD11-AS2	Entry Withdrawn
HGNC:15868	ABHD12	Approved
HGNC:19837	ABHD12B	Approved
HGNC:20293	ABHD13	Approved
HGNC:24538	ABHD14A	Approved
HGNC:38856	ABHD14A-ACY1	Approved
HGNC:28235	ABHD14B	Approved
HGNC:26971	ABHD15	Approved
HGNC:49685	ABHD15-AS1	Approved
HGNC:13921	ABHD16A	Approved
HGNC:16128	ABHD16B	Approved
HGNC:28756	ABHD17A	Approved
HGNC:28394	ABHD17AP1	Approved
HGNC:33538	ABHD17AP2	Symbol Withdrawn
HGNC:34041	ABHD17AP3	Approved
HGNC:34042	ABHD17AP4	Approved
HGNC:34043	ABHD17AP5	Approved
HGNC:34044	ABHD17AP6	Approved
HGNC:38508	ABHD17AP7	Approved
HGNC:38509	ABHD17AP8	Approved
HGNC:38510	ABHD17AP9	Approved
HGNC:24278	ABHD17B	Approved
HGNC:26925	ABHD17C	Approved
HGNC:26111	ABHD18	Approved
HGNC:11320	ABI1	Approved
HGNC:20035	ABI1P1	Approved
HGNC:24011	ABI2	Approved
HGNC:29859	ABI3	Approved
HGNC:17265	ABI3BP	Approved
HGNC:1364	ABITRAM	Approved
HGNC:39851	ABITRAMP1	Approved
HGNC:76	ABL1	Approved
HGNC:77	ABL2	Approved
HGNC:78	ABLIM1	Approved
HGNC:19195	ABLIM2	Approved
HGNC:29132	ABLIM3	Approved
HGNC:79	ABO	Approved
HGNC:81	ABR	Approved
HGNC:30655	ABRA	Approved
HGNC:21230	ABRACL	Approved
HGNC:25829	ABRAXAS1	Approved
HGNC:28975	ABRAXAS2	Approved
HGNC:17369	ABT1	Approved
HGNC:39557	ABT1P1	Approved
HGNC:18275	ABTB1	Approved
HGNC:23842	ABTB2	Approved
HGNC:82	ACAA1	Approved
HGNC:83	ACAA2	Approved
HGNC:84	ACACA	Approved
HGNC:85	ACACB	Approved
HGNC:86	ACAD	Entry Withdrawn
HGNC:87	ACAD8	Approved
HGNC:21497	ACAD9	Approved
HGNC:21597	ACAD10	Approved
HGNC:30211	ACAD11	Approved
HGNC:88	ACADL	Approved
HGNC:89	ACADM	Approved
HGNC:90	ACADS	Approved
HGNC:91	ACADSB	Approved
HGNC:92	ACADVL	Approved
HGNC:319	ACAN	Approved
HGNC:16467	ACAP1	Approved
HGNC:16469	ACAP2	Approved
HGNC:41426	ACAP2-IT1	Approved
HGNC:16754	ACAP3	Approved
HGNC:93	ACAT1	Approved
HGNC:94	ACAT2	Approved
HGNC:15453	ACBD3	Approved
HGNC:40701	ACBD3-AS1	Approved
HGNC:23337	ACBD4	Approved
HGNC:23338	ACBD5	Approved
HGNC:23339	ACBD6	Approved
HGNC:17715	ACBD7	Approved
HGNC:96	ACBP	Symbol Withdrawn
HGNC:97	ACC	Symbol Withdrawn
HGNC:98	ACCN	Symbol Withdrawn
HGNC:14594	ACCPN	Symbol Withdrawn
HGNC:23989	ACCS	Approved
HGNC:34391	ACCSL	Approved
HGNC:25070	ACD	Approved
HGNC:2707	ACE	Approved
HGNC:13557	ACE2	Approved
HGNC:44365	ACE3P	Approved
HGNC:18356	ACER1	Approved
HGNC:23675	ACER2	Approved
HGNC:16066	ACER3	Approved
HGNC:106	ACH	Symbol Withdrawn
HGNC:107	ACHAP	Symbol Withdrawn
HGNC:108	ACHE	Approved
HGNC:109	ACHM1	Symbol Withdrawn
HGNC:110	ACHM2	Symbol Withdrawn
HGNC:111	ACHM3	Symbol Withdrawn
HGNC:112	ACHRD	Symbol Withdrawn
HGNC:113	ACHRG	Symbol Withdrawn
HGNC:17066	ACIN1	Approved
HGNC:4035	ACKR1	Approved
HGNC:1565	ACKR2	Approved
HGNC:23692	ACKR3	Approved
HGNC:1611	ACKR4	Approved
HGNC:21142	ACKR4P1	Approved
HGNC:114	ACLS	Entry Withdrawn
HGNC:115	ACLY	Approved
HGNC:116	ACMG	Entry Withdrawn
HGNC:19288	ACMSD	Approved
HGNC:34504	ACNATP	Approved
HGNC:117	ACO1	Approved
HGNC:118	ACO2	Approved
HGNC:33904	ACOD1	Approved
HGNC:33128	ACOT1	Approved
HGNC:18431	ACOT2	Approved
HGNC:19748	ACOT4	Approved
HGNC:33159	ACOT6	Approved
HGNC:24157	ACOT7	Approved
HGNC:15919	ACOT8	Approved
HGNC:17152	ACOT9	Approved
HGNC:18156	ACOT11	Approved
HGNC:24436	ACOT12	Approved
HGNC:20999	ACOT13	Approved
HGNC:119	ACOX1	Approved
HGNC:120	ACOX2	Approved
HGNC:121	ACOX3	Approved
HGNC:25621	ACOXL	Approved
