cmpd,cmpd_id,target,rank
AEE788,cmpd_YM,EGFR,3
AFATINIB,cmpd_QJ,EGFR,2
DACOMITINIB,cmpd_FA,EGFR,3
GEFITINIB,cmpd_HV,EGFR,3
LAPATINIB,cmpd_VQ,EGFR,1
NERATINIB,cmpd_FI,EGFR,4
OSIMERTINIB,cmpd_AN,EGFR,3
VARLITINIB,cmpd_ZZ,EGFR,4
KW2449,cmpd_LA,CSNK2A2,3
DOVITINIB,cmpd_QZ,BMP2K,21
KW2449,cmpd_LA,BMP2K,12
SUNITINIB,cmpd_OZ,BMP2K,16
BOSUTINIB,cmpd_EY,BMP2K,4
DOVITINIB,cmpd_QZ,AAK1,16
KW2449,cmpd_LA,AAK1,6
SUNITINIB,cmpd_OZ,AAK1,13
DOVITINIB,cmpd_QZ,Q6ZSR9,20
KW2449,cmpd_LA,Q6ZSR9,8
SUNITINIB,cmpd_OZ,Q6ZSR9,11
DACOMITINIB,cmpd_FA,GAK,2
GEFITINIB,cmpd_HV,GAK,1
ICOTINIB,cmpd_TN,GAK,1
BOSUTINIB,cmpd_EY,GAK,24
DASATINIB,cmpd_FC,GAK,12
CRIZOTINIB,cmpd_OG,PRKD3,1
CRENOLANIB,cmpd_OY,SIK2,25
BOSUTINIB,cmpd_EY,SIK2,10
DASATINIB,cmpd_FC,SIK2,25
CRENOLANIB,cmpd_OY,SIK3,28
DASATINIB,cmpd_FC,SIK3,13
FORETINIB,cmpd_DF,PLK4,16
KW2449,cmpd_LA,AURKA,4
CRIZOTINIB,cmpd_OG,AURKA,6
DOVITINIB,cmpd_QZ,AURKB,5
KW2449,cmpd_LA,AURKB,10
FORETINIB,cmpd_DF,AURKB,9
CRIZOTINIB,cmpd_OG,PTK2,4
BOSUTINIB,cmpd_EY,FER,7
FORETINIB,cmpd_DF,FER,8
PONATINIB,cmpd_RH,PTK2B,11
FORETINIB,cmpd_DF,PTK2B,3
PONATINIB,cmpd_RH,TNK1,17
DASATINIB,cmpd_FC,TNK1,6
BOSUTINIB,cmpd_EY,TNK2,15
DASATINIB,cmpd_FC,TNK2,24
CRENOLANIB,cmpd_OY,MAP2K5,20
