"","x"
"1","A2M"
"2","AAK1"
"3","AASS"
"4","ABAT"
"5","ABCB1"
"6","ABCB11"
"7","ABCC1"
"8","ABCC2"
"9","ABCC8"
"10","ABCG2"
"11","ABL1"
"12","ABL2"
"13","ABO"
"14","ACACA"
"15","ACACB"
"16","ACAD8"
"17","ACADM"
"18","ACADS"
"19","ACCS"
"20","ACE"
"21","ACE2"
"22","ACHE"
"23","ACPP"
"24","ACSL4"
"25","ACTA1"
"26","ACVR1"
"27","ACVR1B"
"28","ACVR1C"
"29","ACVR2A"
"30","ACVR2B"
"31","ACY3"
"32","ADA"
"33","ADAM10"
"34","ADAM9"
"35","ADCK1"
"36","ADCK2"
"37","ADCY1"
"38","ADCYAP1"
"39","ADH1A"
"40","ADH1B"
"41","ADH1C"
"42","ADH4"
"43","ADH5"
"44","ADORA1"
"45","ADORA2A"
"46","ADORA2B"
"47","ADORA3"
"48","ADRA1A"
"49","ADRA1B"
"50","ADRA1D"
"51","ADRA2A"
"52","ADRA2B"
"53","ADRA2C"
"54","ADRB1"
"55","ADRB2"
"56","ADRB3"
"57","ADSSL1"
"58","AGTR1"
"59","AGTR2"
"60","AGXT"
"61","AHCY"
"62","AIFM1"
"63","AK1"
"64","AKR1B1"
"65","AKR1C1"
"66","AKR1C2"
"67","AKR1C3"
"68","AKT1"
"69","AKT2"
"70","AKT3"
"71","ALAD"
"72","ALB"
"73","ALDH2"
"74","ALDH5A1"
"75","ALDOA"
"76","ALK"
"77","ALOX15"
"78","ALOX5"
"79","ALOX5AP"
"80","ALPPL2"
"81","AMBP"
"82","AMD1"
"83","AMHR2"
"84","AMT"
"85","AMY1A"
"86","AMY2A"
"87","ANPEP"
"88","ANXA1"
"89","ANXA3"
"90","AOC3"
"91","APCS"
"92","APOH"
"93","APP"
"94","APRT"
"95","AQP1"
"96","AR"
"97","ARAF"
"98","ARG1"
"99","ARG2"
"100","ARL5A"
"101","ARSA"
"102","ART1"
"103","ASL"
"104","ASS1"
"105","ATIC"
"106","ATP1A1"
"107","ATP4A"
"108","ATP5D"
"109","AURKA"
"110","AURKB"
"111","AURKC"
"112","AVPR1A"
"113","AVPR1B"
"114","AVPR2"
"115","B3GAT1"
"116","B3GAT3"
"117","B4GALT1"
"118","BACE1"
"119","BAD"
"120","BCAT1"
"121","BCAT2"
"122","BCHE"
"123","BCKDK"
"124","BCL2"
"125","BCL2L1"
"126","BDKRB2"
"127","BGLAP"
"128","BHMT"
"129","BHMT2"
"130","BIRC5"
"131","BLK"
"132","BLVRB"
"133","BMP2K"
"134","BMPR1B"
"135","BMX"
"136","BRAF"
"137","BST1"
"138","BTK"
"139","C1QC"
"140","C1S"
"141","C5"
"142","CA1"
"143","CA12"
"144","CA2"
"145","CA4"
"146","CA9"
"147","CACNA1A"
"148","CACNA1B"
"149","CACNA1C"
"150","CACNA1D"
"151","CACNA1G"
"152","CACNA1H"
"153","CACNA1I"
"154","CACNA1S"
"155","CACNA2D2"
"156","CACNB4"
"157","CACNG1"
"158","CAD"
"159","CALCA"
"160","CALCB"
"161","CALCR"
"162","CALM1"
"163","CAMK1"
"164","CAMK1G"
"165","CAMK2A"
"166","CAMK2B"
"167","CAMKK1"
"168","CAMKK2"
"169","CANT1"
"170","CAPN1"
"171","CASP1"
"172","CASP3"
"173","CASP7"
"174","CASR"
"175","CAT"
"176","CBR1"
"177","CCKAR"
"178","CCKBR"
"179","CCL11"
"180","CCL2"
"181","CCL3"
"182","CCL5"
"183","CCR2"
"184","CCR5"
"185","CCR9"
"186","CD163"
"187","CD22"
"188","CD274"
"189","CD3D"
"190","CD55"
"191","CD80"
"192","CD86"
"193","CD9"
"194","CDA"
"195","CDC25B"
"196","CDC7"
"197","CDH5"
"198","CDIPT"
