"resourceType","fileFormat","fundingAgency","studyName","studyId","benefactorId","assay","dataType","total","assignee"
172,172,172,172,172,"syn17262942",0,0,516,"sara.gosline@sagebionetworks.org"
37,35,35,35,35,"syn11375109",28,0,135,"sara.gosline@sagebionetworks.org"
31,31,31,31,31,"syn11711455",0,0,93,"sara.gosline@sagebionetworks.org"
27,22,27,22,22,"syn5698493",NA,NA,76,"sara.gosline@sagebionetworks.org"
23,17,17,17,17,"syn11375787",18,0,75,"sara.gosline@sagebionetworks.org"
0,44,0,0,0,"syn6098028",0,0,44,"sara.gosline@sagebionetworks.org"
0,30,5,5,5,"syn16816603",0,0,35,"sara.gosline@sagebionetworks.org"
1,0,0,0,0,"syn11375478",24,0,25,"sara.gosline@sagebionetworks.org"
0,16,0,0,0,"syn18085671",0,0,16,"sara.gosline@sagebionetworks.org"
5,5,5,5,5,"syn20827657",0,0,15,"sara.gosline@sagebionetworks.org"
3,3,3,3,3,"syn4984604",NA,NA,9,"sara.gosline@sagebionetworks.org"
2,2,2,2,2,"syn4939890",0,0,6,"sara.gosline@sagebionetworks.org"
2,2,2,2,2,"syn6633069",NA,NA,6,"sara.gosline@sagebionetworks.org"
2,2,2,2,2,"syn4939902",NA,NA,6,"sara.gosline@sagebionetworks.org"
2,2,2,2,2,"syn4939918",NA,NA,6,"sara.gosline@sagebionetworks.org"
0,4,0,0,0,"syn11638893",NA,NA,4,"sara.gosline@sagebionetworks.org"
1,1,1,1,1,"syn4939908",NA,NA,3,"sara.gosline@sagebionetworks.org"
1,1,1,0,0,"syn7239479",NA,NA,3,"sara.gosline@sagebionetworks.org"
1,1,1,1,1,"syn18416527",NA,NA,3,"sara.gosline@sagebionetworks.org"
1,1,1,1,1,"syn18420940",NA,NA,3,"sara.gosline@sagebionetworks.org"
0,1,2,0,0,"syn11374341",NA,NA,3,"sara.gosline@sagebionetworks.org"
1,1,1,1,1,"syn18634454",NA,NA,3,"sara.gosline@sagebionetworks.org"
1,1,1,1,1,"syn20447454",NA,NA,3,"sara.gosline@sagebionetworks.org"
0,2,0,0,0,"syn7217928",0,0,2,"sara.gosline@sagebionetworks.org"
1,0,1,0,0,"syn11374339",NA,NA,2,"sara.gosline@sagebionetworks.org"
0,0,1,0,0,"syn12176381",NA,NA,1,"sara.gosline@sagebionetworks.org"
0,0,1,0,0,"syn12978911",NA,NA,1,"sara.gosline@sagebionetworks.org"
0,1,0,0,0,"syn19226800",0,0,1,"sara.gosline@sagebionetworks.org"
0,0,1,0,0,"syn11374333",NA,NA,1,"sara.gosline@sagebionetworks.org"
1,0,0,0,0,"syn11374354",NA,NA,1,"sara.gosline@sagebionetworks.org"
