target,hgnc_id
A2M,HGNC:7
AAK1,HGNC:19679
AASS,HGNC:17366
ABAT,HGNC:23
ABCB1,HGNC:40
ABCB11,HGNC:42
ABCC1,HGNC:51
ABCC2,HGNC:53
ABCC8,HGNC:59
ABCG2,HGNC:74
ABL1,HGNC:76
ABL2,HGNC:77
ABO,HGNC:79
ACACA,HGNC:84
ACACB,HGNC:85
ACAD10,HGNC:21597
ACAD11,HGNC:30211
ACAD8,HGNC:87
ACADM,HGNC:89
ACADS,HGNC:90
ACCS,HGNC:23989
ACE,HGNC:2707
ACE2,HGNC:13557
ACHE,HGNC:108
ACOX3,HGNC:121
ACPP,HGNC:125
ACSL4,HGNC:3571
ACTA1,HGNC:129
ACTR3,HGNC:170
ACVR1,HGNC:171
ACVR1B,HGNC:172
ACVR1C,HGNC:18123
ACVR2A,HGNC:173
ACVR2B,HGNC:174
ACVRL1,HGNC:175
ACY3,HGNC:24104
ADA,HGNC:186
ADAM10,HGNC:188
ADAM9,HGNC:216
ADCK1,HGNC:19038
ADCK2,HGNC:19039
ADCK3,HGNC:16812
ADCY1,HGNC:232
ADCYAP1,HGNC:241
ADH1A,HGNC:249
ADH1B,HGNC:250
ADH1C,HGNC:251
ADH4,HGNC:252
ADH5,HGNC:253
ADK,HGNC:257
ADORA1,HGNC:262
ADORA2A,HGNC:263
ADORA2B,HGNC:264
ADORA3,HGNC:268
ADRA1A,HGNC:277
ADRA1B,HGNC:278
ADRA1D,HGNC:280
ADRA2A,HGNC:281
ADRA2B,HGNC:282
ADRA2C,HGNC:283
ADRB1,HGNC:285
ADRB2,HGNC:286
ADRB3,HGNC:288
ADRBK1,HGNC:289
ADSSL1,HGNC:20093
AGTR1,HGNC:336
AGTR2,HGNC:338
AGXT,HGNC:341
AHCY,HGNC:343
AIFM1,HGNC:8768
AIMP1,HGNC:10648
AK1,HGNC:361
AK2,HGNC:362
AKR1B1,HGNC:381
AKR1C1,HGNC:384
AKR1C2,HGNC:385
AKR1C3,HGNC:386
AKT1,HGNC:391
AKT2,HGNC:392
AKT3,HGNC:393
ALAD,HGNC:395
ALB,HGNC:399
ALDH2,HGNC:404
ALDH5A1,HGNC:408
ALDOA,HGNC:414
ALK,HGNC:427
ALOX15,HGNC:433
ALOX5,HGNC:435
ALOX5AP,HGNC:436
ALPPL2,HGNC:441
AMBP,HGNC:453
AMD1,HGNC:457
AMHR2,HGNC:465
AMT,HGNC:473
AMY1A,HGNC:474
AMY2A,HGNC:477
ANPEP,HGNC:500
ANXA1,HGNC:533
ANXA3,HGNC:541
AOC3,HGNC:550
AP1G1,HGNC:555
APCS,HGNC:584
APOH,HGNC:616
APP,HGNC:620
APRT,HGNC:626
AQP1,HGNC:633
AR,HGNC:644
ARAF,HGNC:646
ARG1,HGNC:663
ARG2,HGNC:664
ARL5A,HGNC:696
ARSA,HGNC:713
ART1,HGNC:723
ASL,HGNC:746
ASS1,HGNC:758
ATIC,HGNC:794
ATP1A1,HGNC:799
ATP4A,HGNC:819
ATP5D,HGNC:837
AURKA,HGNC:11393
AURKB,HGNC:11390
AURKC,HGNC:11391
AVPR1A,HGNC:895
AVPR1B,HGNC:896
AVPR2,HGNC:897
B3GAT1,HGNC:921
B3GAT3,HGNC:923
B4GALT1,HGNC:924
BACE1,HGNC:933
BAD,HGNC:936
BCAT1,HGNC:976
BCAT2,HGNC:977
BCHE,HGNC:983
BCKDK,HGNC:16902
BCL2,HGNC:990
BCL2L1,HGNC:992
BCR,HGNC:1014
BDKRB2,HGNC:1030
BGLAP,HGNC:1043
BHMT,HGNC:1047
BHMT2,HGNC:1048
BIRC5,HGNC:593
BLK,HGNC:1057
BLVRB,HGNC:1063
BMP2K,HGNC:18041
BMPR1A,HGNC:1076
